149.104.23.58:34237#HK
8.217.229.36:23629#HK
43.154.34.74:1935#HK
43.154.196.20:65432#HK
123.58.212.234:443#HK
8.222.134.170:2053#SG
8.222.182.10:2096#SG
8.222.211.124:2087#SG
8.222.215.228:2083#SG
8.222.182.10:2083#SG
47.236.87.246:2083#SG
8.222.145.110:2053#SG
8.222.160.61:2096#SG
47.236.144.208:2087#SG
8.222.130.137:2083#SG
18.183.137.85:2083#JP
45.66.128.148:35963#JP
138.2.14.248:8443#JP
107.165.195.179:443#JP
168.138.196.237:8443#JP
35.221.215.200:2023#TW
211.75.74.232:4443#TW
103.137.63.37:46832#TW
218.54.200.63:30048#KR
219.240.54.189:10434#KR
175.125.207.253:33060#KR
129.154.212.181:20309#KR
118.216.16.203:10025#KR
110.13.212.97:20880#KR
218.54.154.5:11423#KR
58.232.3.167:11755#KR
14.54.63.38:50030#KR
222.233.248.165:38344#KR
154.17.28.199:8001#US
38.59.226.113:34237#US
38.59.225.235:34237#US
38.59.238.175:34237#US
150.136.241.40:8443#US
159.65.165.75:8443#US
174.136.205.41:50008#US
