IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.102.124,2082,2082,false,HKG,Asia Pacific,Hong Kong,244,4.60
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,17,4.40
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,4.16
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,26,4.08
47.245.57.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,172,3.79
132.145.121.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,242,3.69
47.245.57.38,2086,2086,false,HKG,Asia Pacific,Hong Kong,189,3.53
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,3.53
18.167.208.181,443,443,true,HKG,Asia Pacific,Hong Kong,108,3.51
132.145.121.242,2095,2095,false,HKG,Asia Pacific,Hong Kong,232,3.23
16.163.18.210,443,443,true,HKG,Asia Pacific,Hong Kong,126,3.21
158.101.148.221,2086,2086,false,HKG,Asia Pacific,Hong Kong,242,3.18
8.209.222.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,216,3.06
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,24,3.01
8.217.159.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,26,2.93
47.245.57.38,2095,2095,false,HKG,Asia Pacific,Hong Kong,167,2.80
16.162.152.191,443,443,true,HKG,Asia Pacific,Hong Kong,179,2.74
138.3.215.11,2095,2095,false,HKG,Asia Pacific,Hong Kong,250,2.64
156.251.176.48,21952,443,true,HKG,Asia Pacific,Hong Kong,51,2.51
223.122.34.18,30466,443,true,HKG,Asia Pacific,Hong Kong,57,2.49
8.217.159.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,23,2.44
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,21,2.37
158.179.186.123,8880,8880,false,HKG,Asia Pacific,Hong Kong,242,2.22
8.217.85.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,25,1.90
152.70.102.124,8443,8443,true,HKG,Asia Pacific,Hong Kong,244,1.84
156.251.144.162,41683,443,true,HKG,Asia Pacific,Hong Kong,38,1.83
